no_id,temperature[c],humidity[%],tvoc[ppb],eco2[ppm],raw_h2,raw_ethanol,pressure[hpa],pm1.0,pm2.5,nc0.5,nc1.0,nc2.5,cnt,fire_alarm
51142,27.45,43.27,48,488,12844,20723,937.586,2.04,2.12,14.05,2.191,0.049,0,0
51148,27.22,44.13,33,463,12860,20746,937.575,2.36,2.45,16.21,2.528,0.057,6,0
51151,27.15,44.37,29,461,12861,20743,937.566,2.43,2.53,16.75,2.612,0.059,9,0
51154,27.09,44.47,24,457,12864,20755,937.565,2.35,2.44,16.17,2.522,0.057,12,0
51157,27.01,44.65,13,435,12870,20766,937.572,2.25,2.33,15.46,2.411,0.054,15,0
51160,26.95,44.73,10,437,12868,20767,937.581,2.05,2.13,14.13,2.203,0.05,18,0
51163,26.94,44.88,15,424,12870,20772,937.595,1.94,2.01,13.34,2.081,0.047,21,0
51166,28.77,43.81,0,406,12879,20792,937.609,1.95,2.02,13.41,2.091,0.047,24,0
51169,29.22,41.17,0,420,12876,20793,937.607,2.02,2.1,13.89,2.166,0.049,27,0
51172,29.48,40.03,26,440,12863,20760,937.609,1.93,2.01,13.28,2.071,0.047,30,0
51175,29.63,39.45,21,429,12863,20768,937.602,1.96,2.04,13.49,2.103,0.048,33,0
51178,29.74,39.09,28,429,12863,20762,937.591,1.97,2.05,13.58,2.118,0.048,36,0
51181,29.86,38.82,29,424,12865,20768,937.593,1.95,2.02,13.41,2.09,0.047,39,0
51184,29.92,38.71,28,438,12861,20769,937.58,1.87,1.95,12.89,2.01,0.045,42,0
51187,29.96,38.54,12,422,12865,20777,937.587,1.92,2.0,13.23,2.062,0.047,45,0
51190,30.04,38.45,16,436,12860,20771,937.573,2.04,2.11,14.01,2.185,0.049,48,0
51193,30.07,38.34,31,426,12862,20765,937.568,2.11,2.2,14.55,2.269,0.051,51,0
51196,28.21,39.31,68,479,12834,20721,937.562,2.3,2.39,15.83,2.468,0.056,54,0
51199,27.74,41.74,72,465,12839,20718,937.555,2.35,2.44,16.14,2.517,0.057,57,0
51202,27.49,42.91,68,452,12857,20728,937.558,2.33,2.42,16.02,2.497,0.056,60,0
51205,27.32,43.58,60,438,12860,20737,937.569,2.35,2.44,16.16,2.519,0.057,63,0
51208,27.18,44.05,67,441,12855,20725,937.585,2.4,2.5,16.54,2.58,0.058,66,0
51211,27.06,44.28,46,427,12859,20745,937.601,2.44,2.53,16.77,2.616,0.059,69,0
51214,26.99,44.47,30,423,12864,20767,937.582,2.31,2.4,15.93,2.484,0.056,72,0
51217,26.94,44.67,28,426,12853,20761,937.596,2.27,2.36,15.61,2.434,0.055,75,0
51220,26.88,44.82,21,436,12857,20764,937.622,2.19,2.27,15.04,2.346,0.053,78,0
51223,26.84,44.99,17,415,12863,20774,937.63,2.18,2.26,15.0,2.34,0.053,81,0
51226,28.7,43.94,11,406,12869,20782,937.618,2.15,2.24,14.81,2.31,0.052,84,0
51229,29.16,41.35,31,413,12864,20766,937.625,2.19,2.27,15.07,2.35,0.053,87,0
51232,29.37,40.29,34,422,12858,20753,937.602,2.15,2.23,14.8,2.308,0.052,90,0
51235,29.51,39.82,44,409,12854,20735,937.621,2.19,2.27,15.07,2.349,0.053,93,0
51238,29.63,39.45,46,424,12858,20746,937.616,2.24,2.33,15.43,2.406,0.054,96,0
51241,29.72,39.2,49,429,12850,20747,937.613,2.32,2.41,15.96,2.488,0.056,99,0
51244,29.8,38.99,35,431,12855,20755,937.608,2.37,2.46,16.32,2.546,0.057,102,0
51247,29.86,38.87,20,413,12864,20768,937.605,2.31,2.4,15.89,2.478,0.056,105,0
51250,29.94,38.76,10,400,12870,20775,937.592,2.14,2.22,14.73,2.297,0.052,108,0
51253,30.0,38.62,5,406,12868,20786,937.586,2.06,2.14,14.21,2.215,0.05,111,0
51256,28.17,39.62,35,444,12848,20755,937.592,2.0,2.08,13.76,2.145,0.048,114,0
51259,27.67,42.01,36,431,12850,20754,937.576,1.91,1.98,13.14,2.049,0.046,117,0
51262,27.43,43.19,31,424,12850,20741,937.587,2.16,2.24,14.87,2.319,0.052,120,0
51265,27.26,43.87,59,430,12850,20737,937.571,2.3,2.38,15.8,2.463,0.056,123,0
51268,27.15,44.26,76,436,12847,20717,937.574,2.27,2.35,15.6,2.433,0.055,126,0
51271,27.02,44.57,64,435,12847,20729,937.577,2.21,2.3,15.24,2.376,0.054,129,0
51274,26.98,44.79,52,417,12854,20736,937.579,2.22,2.3,15.26,2.38,0.054,132,0
51277,26.9,44.97,40,419,12858,20756,937.587,2.23,2.32,15.37,2.397,0.054,135,0
51280,26.83,45.13,28,419,12858,20754,937.567,2.27,2.35,15.59,2.431,0.055,138,0
51283,26.77,45.24,50,431,12845,20738,937.562,2.19,2.28,15.07,2.351,0.053,141,0
51286,28.63,44.2,21,400,12867,20764,937.57,2.16,2.24,14.85,2.316,0.052,144,0
51289,29.08,41.64,23,407,12864,20759,937.578,2.15,2.24,14.82,2.311,0.052,147,0
51292,29.35,40.48,27,410,12855,20758,937.59,2.19,2.28,15.09,2.353,0.053,150,0
51295,29.49,39.93,30,413,12849,20753,937.573,2.31,2.4,15.93,2.484,0.056,153,0
51298,29.61,39.57,48,424,12850,20742,937.576,2.44,2.53,16.77,2.615,0.059,156,0
51301,29.7,39.35,57,424,12845,20729,937.571,2.42,2.51,16.64,2.594,0.059,159,0
51304,29.79,39.21,53,424,12847,20730,937.569,2.3,2.39,15.86,2.473,0.056,162,0
51307,29.83,39.1,52,426,12850,20738,937.558,2.26,2.34,15.53,2.422,0.055,165,0
51310,29.88,38.98,64,423,12849,20724,937.573,2.21,2.3,15.22,2.373,0.054,168,0
51313,29.92,38.89,48,413,12853,20740,937.582,2.08,2.16,14.32,2.233,0.05,171,0
51316,28.08,39.87,61,448,12831,20719,937.573,2.02,2.1,13.94,2.173,0.049,174,0
51319,27.6,42.3,73,445,12833,20715,937.576,1.96,2.04,13.52,2.108,0.048,177,0
51322,27.38,43.51,45,411,12841,20740,937.559,1.91,1.98,13.14,2.05,0.046,180,0
